No,code,name,explanation_vietnamese,Definition,Long-Term
1,100-1000-0000,Unknown,Một doanh nghiệp/cơ sở kinh doanh chưa có định nghĩa,Unknown,
2,100-1000-0004,Restaurant,"Nhà hàng, quán ăn, tiệm ăn có bàn ghế lịch sự, (Vd: quán mì, quán phở, tiệm cơm..) . Nhớ chọn thêm Sub-Cate
** Bạn chọn trực tiếp bên SUB-Cate (giúp mình nhé)",An establishment that prepares and serves refreshments and prepared meals. This is a base-level category that should be used for all Places that do not fit other categories defined for Restaurant (100-1000-xxxx).,
3,100-1100-0010,Food Market-Stall,"Gian hàng ẩm thực, Xe bán đồ ăn, Sạp bán đồ ăn (Bán trong sạp/ hoặc quầy xe/ thường ở hội chợ, hoặc sự kiện..)","A restaurant that serves specialty foods at a food court, marketplace or outdoor setting including hawker centers (common in Southeast Asia).",
4,200-2000-0000,Coffee Shop,"Quán cà phê, Coffee… hoặc quán nước bất kỳ có bàn ghế ngồi lại, phục vụ các loại nước chung chung bao gồm cà phê.","An establishment that primarily sells coffee, but may also serve light foods, such as pastries or other snacks.",
5,200-2000-0012,Nightlife-Entertainment,"Dịch vụ giải trí về đêm,  bar, Pub, quán Bia bọt vỉa hè... ( Các dịch vụ giải trí về đêm nói chung, thường cung cấp đồ uống có cồn)",An establishment that provides evening entertainment and usually serves alcoholic beverages. This is a base-level category that should be used for all Places that do not fit other categories defined for Nightlife-Entertainment (200-2000-xxxx).,
6,200-2000-0014,Night Club,"Hộp Đêm, Vũ Trường, Pub, Lounge nơi có đánh nhạc.","An establishment that provides evening entertainment, such as a dance club or lounge. Most Places are generally open late.",
7,200-2000-0016,Karaoke,Karaoke,An establishment that provides karaoke entertainment.,
8,200-2000-0017,Billiards-Pool Hall,"Tiệm Bida, Billiards",An establishment that provides billiards or pool tables.,
9,200-2100-0019,Video Arcade-Game Room,Tiệm điện tử thẻ,"An establishment that provides video games, pinball machines and other games.",
10,200-2200-0000,Cinema,Rạp chiếu phim trong nhà/ ngoài trời,"An establishment that shows movies through screen projection, such as a movie theatre, movie theatre complex or outdoor movie theatre.",
11,300-3000-0000,"Theatre, Music and Culture","Rạp hát, Sân khấu kịch, Nhà văn hóa. - Nơi trình diễn nghệ thuật nói chung","An establishment where various types of performing arts are presented. This is a base-level category that should be used for all Places that do not fit other categories defined for Theatre, Music and Culture (200-2200-xxxx).",
12,300-3000-0023,Landmark Attraction,"Địa điêm thu hút - Là [Quan cảnh] hoặc [Kiến trúc] có thể nhìn thấy, nhận ra dễ dàng từ mọi khoảng cách trong khu vực đó. (vd: Landmark 81, Bitexco…)",A designated area of special interest to tourists. This is a base-level category that should be used for all Places that do not fit other categories defined for Landmark-Attraction (300-3000-xxxx).,
13,300-3000-0024,Tourist Attraction,"Địa điểm thu hút - dành cho khách du lịch (ví dụ: nhà thờ đức bà, bà nà hills, bưu điện thành phố, chứng tích chiến tranh, hồ gươm…)","A landmark or attraction that is regionally known, is of special interest to tourists, and does not meet the criteria for another more specific category. Examples of tourist attractions include the Eiffel Tower or Golden Gate Bridge.",
14,300-3000-0025,Gallery,Phòng trưng bày - Địa điểm thu hút về loại hình nghệ thuật,A landmark or attraction that provides works of art.,
15,300-3100-0000,Historical Monument,Di tích lịch sử - địa điểm thu hút về giá trị văn hóa lịch sử.,"A landmark or attraction with important historical or cultural value. For example, Machu Picchu, the Pyramids at Giza, Stonehenge, the Colosseum, Parthenon and Taj Mahal.",
16,300-3200-0030,Museum,"Bảo tàng - địa điểm [bảo tồn] và [triển lãm] các hiện vật nghệ thuật, lịch sử hoặc khoa học.","An establishment dedicated to the preservation and exhibition of artistic, historical, or scientific artifacts. This is a base-level category that should be used for all Places that do not fit other categories defined for Museum (300-3100-xxxx).",
17,300-3200-0031,Church,"Nhà Thờ, giáo đường -  Nơi thờ phượng chúa.",A religious place of worship for the Christian faith.,
18,300-3200-0034,Temple,"Đền thờ, chùa - Khu vực thờ phượng tín ngưỡng về tôn giáo và hoạt động tâm linh (Phật Giáo, Hindu Giáo…)","A religious place of worship dedicated to religious or spiritual activities. Places in this category may apply to Hinduism, Buddhism, Taoism, Sikh, Jain, Ayyavazhi and other faiths.",
19,350-3500-0233,Mosque,Nhà Thờ Hồi Giáo - Nơi thờ phượng của những người đạo Hồi.,A religious place of worship for the Islamic faith.,
20,400-4100-0035,Body of water,"Khu vực địa lý có nước - vd như hồ, sông, suối và đại dương.","A natural and geographical feature of the earth's surface that is covered with water, such as a lake, river, stream or ocean.",
21,400-4100-0036,Train Station,Ga Tàu hỏa (Xe lửa),A hub for travelers who are travelling between stops along a railway network.,
22,400-4100-0041,Bus Station,Trạm xe buýt (xe bus),A facility that serves as a hub for inter-city bus service.,
23,400-4300-0000,Transportation Service,"Dịch vụ giao thông - (Trụ sở cung cấp các dịch vụ du lịch hàng không, limo và taxi dịch vụ.) vd: Trạm mua vé của Phương Trang, Thành Bưởi, Hoa Mai... văn phòng bán vé máy của Vietjet..)","An establishment that provides charter air travel, limousine or taxi services.",
