No.,code,Cate,Keyword
2,100-1000-0004,Restaurant,"Nhà hàng, quán ăn, tiệm ăn có bàn ghế lịch sự, (Vd: quán mì, quán phở, tiệm cơm..) . Nhớ chọn thêm Sub-Cate
** Bạn chọn trực tiếp bên SUB-Cate (giúp mình nhé)"
3,100-1100-0010,Food Market-Stall,"Gian hàng ẩm thực, Xe bán đồ ăn, Sạp bán đồ ăn (Bán trong sạp/ hoặc quầy xe/ thường ở hội chợ, hoặc sự kiện..)"
4,200-2000-0000,Coffee Shop,"Quán cà phê, Coffee… hoặc quán nước bất kỳ có bàn ghế ngồi lại, phục vụ các loại nước chung chung bao gồm cà phê."
5,200-2000-0012,Nightlife-Entertainment,"Dịch vụ giải trí về đêm,  bar, Pub, quán Bia bọt vỉa hè... ( Các dịch vụ giải trí về đêm nói chung, thường cung cấp đồ uống có cồn)"
6,200-2000-0014,Night Club,"Hộp Đêm, Vũ Trường, Pub, Lounge nơi có đánh nhạc."
7,200-2000-0016,Karaoke,Karaoke
8,200-2000-0017,Billiards-Pool Hall,"Tiệm Bida, Billiards"
9,200-2100-0019,Video Arcade-Game Room,Tiệm điện tử thẻ
10,200-2200-0000,Cinema,Rạp chiếu phim trong nhà/ ngoài trời
11,300-3000-0000,"Theatre, Music and Culture","Rạp hát, Sân khấu kịch, Nhà văn hóa. - Nơi trình diễn nghệ thuật nói chung"
12,300-3000-0023,Landmark Attraction,"Địa điêm thu hút - Là [Quan cảnh] hoặc [Kiến trúc] có thể nhìn thấy, nhận ra dễ dàng từ mọi khoảng cách trong khu vực đó. (vd: Landmark 81, Bitexco…)"
13,300-3000-0024,Tourist Attraction,"Địa điểm thu hút - dành cho khách du lịch (ví dụ: nhà thờ đức bà, bà nà hills, bưu điện thành phố, chứng tích chiến tranh, hồ gươm…)"
14,300-3000-0025,Gallery,Phòng trưng bày - Địa điểm thu hút về loại hình nghệ thuật
15,300-3100-0000,Historical Monument,Di tích lịch sử - địa điểm thu hút về giá trị văn hóa lịch sử.
16,300-3200-0030,Museum,"Bảo tàng - địa điểm [bảo tồn] và [triển lãm] các hiện vật nghệ thuật, lịch sử hoặc khoa học."
17,300-3200-0031,Church,"Nhà Thờ, giáo đường -  Nơi thờ phượng chúa."
18,300-3200-0034,Temple,"Đền thờ, chùa - Khu vực thờ phượng tín ngưỡng về tôn giáo và hoạt động tâm linh (Phật Giáo, Hindu Giáo…)"
19,350-3500-0233,Mosque,Nhà Thờ Hồi Giáo - Nơi thờ phượng của những người đạo Hồi.
20,400-4100-0035,Body of water,"Khu vực địa lý có nước - vd như hồ, sông, suối và đại dương."
21,400-4100-0036,Train Station,Ga Tàu hỏa (Xe lửa)
22,400-4100-0041,Bus Station,Trạm xe buýt (xe bus)
23,400-4300-0000,Transportation Service,"Dịch vụ giao thông - (Trụ sở cung cấp các dịch vụ du lịch hàng không, limo và taxi dịch vụ.) vd: Trạm mua vé của Phương Trang, Thành Bưởi, Hoa Mai... văn phòng bán vé máy của Vietjet..)"
24,500-5000-0053,Rest Area,Khu vực dừng chân - Trạm dừng. (Một cở sở nằm trên đường quốc lộ/ cao tốc mà cung cấp nhà vệ sinh và chỗ đậu xe)
25,500-5100-0057,Hotel,Khách sạn
26,550-5510-0202,Guest House,Nhà nghỉ
27,550-5510-0378,Bicycle and Bicycle Accessories Shop,Cửa hàng xe dạp và phụ kiện xe đạp - Kinh doanh bán xe đạp và phụ kiện xe đạp.
28,550-5520-0207,Park-Recreation Area,"Công viên giải trí - Khu vực an ninh được chăm sóc và duy trì cho công cộng, thường thân thiện môi trường, tự nhiên, có cây xanh (Vd: Công viên Tao đàn, Công viên Gia Định, hoặc Hồ Tuyền Lâm..)"
29,550-5520-0208,Campsite,Khu cắm trại - Một khu vực được chỉ định mọi người có thể sử dụng lều hoặc xe tải cắm trại để ở ngoài trời qua đêm.
